Name,CMP,PE,MarCap,DivYld,NPQtr,QtrProfitVar,SalesQtr,QtrSalesVar,ROCE,ROE5Yr,ROE3Yr,ROE7Yr
Affle 3i,1720.0,63.28,24165.37,0.0,103.07,17.81,602.25,18.97,16.82,17.95,15.33,19.02
The Ramco Cement,1004.15,121.29,23727.3,0.25,181.58,-94.13,1983.45,-6.04,8.1,9.75,7.75,10.45
EIH,375.2,33.36,23463.66,0.32,278.83,12.43,800.17,7.95,23.62,4.03,8.68,4.58
Inox Wind,179.82,75.92,23444.82,0.0,111.64,5083.08,911.27,81.01,4.26,-23.35,-27.68,-17.06
Dr Lal Pathlabs,2799.6,48.04,23402.34,0.86,155.5,83.2,602.6,10.49,28.78,21.87,20.24,22.07
Timken India,3096.0,57.93,23287.72,0.08,74.31,10.04,671.43,9.67,23.36,17.64,19.89,17.09
Himadri Special,461.9,41.08,22803.14,0.11,155.46,34.99,1134.64,-3.59,22.01,11.16,14.81,12.31
Bayer Crop Sci.,5040.7,43.51,22653.96,2.78,34.2,-63.27,1056.9,10.68,33.91,23.86,25.48,22.09
SKF India,4574.8,39.97,22616.88,2.84,202.77,15.99,1213.37,0.83,28.83,21.75,22.59,20.5
Crompton Gr. Con,351.25,40.68,22613.8,0.85,171.74,27.02,2060.64,5.08,19.01,21.2,17.0,24.1
TVS Holdings,11136.5,19.6,22531.48,0.84,643.96,22.36,11800.32,17.71,15.33,18.99,23.46,18.48
Redington,280.16,17.89,21902.19,2.21,402.96,17.47,26716.08,13.66,19.46,18.64,20.48,17.78
CESC,165.19,15.99,21897.1,2.72,385.0,-6.75,3877.0,14.47,10.88,12.55,11.99,12.8
Tata Chemicals,859.5,82.15,21896.62,1.75,-49.0,-114.13,3509.0,0.98,4.15,4.89,4.89,10.64
Hindustan Copper,226.0,54.32,21854.74,0.41,62.9,-0.16,327.77,-17.91,17.99,6.28,16.94,6.57
Amber Enterp.,6403.5,97.55,21670.73,0.0,37.05,7572.92,2133.33,64.77,10.18,8.22,7.39,8.51
Pun. & Sind Bank,30.22,21.11,21442.86,0.66,312.78,124.46,3158.94,27.31,5.98,1.97,6.59,-0.43
